feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
ASV239	Filtered	yes	-0.0284283987577356	0.00646430437239056	16	6	0.000607438219523709	0.0274423831592356
ASV70	Filtered	yes	-0.0608075513155799	0.0145725199106346	16	8	0.000939016456630243	0.0276293868241248
ASV79	Filtered	yes	-0.0550695449660422	0.0130777342018634	16	7	0.00087180811449129	0.0276293868241248
ASV101	Filtered	yes	-0.0440548627424994	0.0105172658210579	16	7	0.000910127985017567	0.0276293868241248
ASV106	Filtered	yes	-0.0518936398005545	0.0124674075482869	16	8	0.000958244629738433	0.0276293868241248
ASV242	Filtered	yes	-0.0252177280385607	0.00598254540390126	16	6	0.000864592089197742	0.0276293868241248
ASV378	Filtered	yes	-0.0172744148826662	0.00422724385012176	16	6	0.00111116165810471	0.0307569546963384
ASV249	Filtered	yes	-0.0243698068643323	0.00601672173476739	16	6	0.00119244458450666	0.0317373712491773
ASV382	Filtered	yes	-0.0120031445644782	0.002988561381965	16	6	0.00127450652341408	0.0326651301556499
ASV464	Filtered	yes	-0.0148879583187474	0.00374026940535926	16	6	0.00136749974858254	0.0337967795006829
ASV113	Filtered	yes	-0.0404463957521991	0.0108869847010662	16	7	0.00230724547472326	0.0550556506382239
ASV86	Filtered	yes	-0.0435981605570967	0.0118940510557555	16	8	0.0025452335235217	0.0585222566527486
ASV217	Filtered	yes	0.0311614342253888	0.00854635993302879	16	6	0.00264489112802868	0.0585222566527486
ASV303	Filtered	yes	-0.0132426941349884	0.0036435077738974	16	7	0.00270623152151439	0.0585222566527486
ASV398	Filtered	yes	-0.0168949194641674	0.00468709860408898	16	6	0.00287238686569234	0.0602330821533061
ASV111	Filtered	yes	-0.0390834581661297	0.0109499877718595	16	6	0.00308076827070053	0.0619155197253637
ASV147	Filtered	yes	-0.0314676235046619	0.00883665720484265	16	6	0.00313156530402851	0.0619155197253637
ASV366	Filtered	yes	-0.0198811476153793	0.00565075224218244	16	6	0.00340883765963324	0.06552543501295
ASV25	Filtered	yes	-0.0880889014658311	0.0258336959495933	16	10	0.00422925246442125	0.0750421206507565
ASV62	Filtered	yes	-0.05342001460689	0.0155668427951052	16	6	0.00404972842351578	0.0750421206507565
ASV157	Filtered	yes	-0.0305750455558573	0.00894423614313618	16	6	0.00415783378024724	0.0750421206507565
ASV254	Filtered	yes	-0.0218725941452175	0.00651084593252347	16	5	0.00467561320431146	0.0808881084345882
ASV15	Filtered	yes	-0.092864634021417	0.0286202703875925	16	15	0.00587413448906309	0.0870773840734857
ASV107	Filtered	yes	-0.037068206130566	0.011229949479736	16	6	0.00525355383745654	0.0870773840734857
ASV231	Filtered	yes	-0.0199878881405686	0.0061529305912533	16	5	0.00582989898284697	0.0870773840734857
ASV324	Filtered	yes	-0.0182022554120358	0.00555501341869836	16	5	0.00551170346989853	0.0870773840734857
ASV387	Filtered	yes	-0.0140669671733059	0.0043765336093276	16	5	0.00624199463760967	0.0870773840734857
ASV421	Filtered	yes	-0.0135258246554708	0.00416683466808749	16	5	0.00585836138390145	0.0870773840734857
ASV459	Filtered	yes	-0.0167026407041991	0.00519593859491332	16	6	0.00623731706113156	0.0870773840734857
ASV466	Filtered	yes	-0.0137943113076201	0.00424652291263695	16	5	0.00583149050267235	0.0870773840734857
ASV532	Filtered	yes	-0.0106886822573966	0.00332960959031695	16	5	0.00629171850241948	0.0870773840734857
ASV643	Filtered	yes	-0.00853969602134741	0.00264482728531242	16	5	0.00606273395969876	0.0870773840734857
ASV16	Filtered	yes	-0.0820318516309971	0.0256897024504719	16	16	0.00650821258807723	0.0883075119794009
ASV308	Filtered	yes	-0.0170927621851692	0.00544008647139708	16	5	0.00720527655288981	0.0951457937856889
ASV352	Filtered	yes	-0.0162177718847077	0.0051709642212454	16	5	0.00728717784774785	0.0951457937856889
ASV341	Filtered	yes	-0.0171336227534533	0.00549161478889373	16	5	0.00752788470744464	0.0951961553228036
ASV531	Filtered	yes	-0.00961420939417459	0.00308403983777058	16	5	0.00756616841438468	0.0951961553228036
ASV424	Filtered	yes	-0.0142418568874442	0.00461039849320125	16	5	0.0080042293649602	0.098909405724151
ASV218	Filtered	yes	-0.0226648241662303	0.00744087527621993	16	5	0.0087189176654937	0.104025707319339
ASV432	Filtered	yes	-0.0125581480012435	0.00411365579507073	16	5	0.00860195444660067	0.104025707319339
ASV90	Filtered	yes	-0.0445774686339702	0.0147706667163478	16	6	0.00921717217529117	0.108106493988161
ASV259	Filtered	yes	-0.0195081103859612	0.00654274844654415	16	5	0.009905447185499	0.114242824206088
ASV66	Filtered	yes	-0.06329708206296	0.0213422117265673	16	8	0.0102207836190601	0.115947250235895
ASV117	Filtered	yes	-0.0441709514974496	0.0150806009471006	16	8	0.0109935139109037	0.120754152799132
ASV267	Filtered	yes	-0.0184137821296377	0.00628266423339934	16	5	0.0109523596559473	0.120754152799132
ASV82	Filtered	yes	-0.0421952402254215	0.0145846655784875	16	5	0.0118013091322491	0.127601654992444
ASV291	Filtered	yes	-0.0235573007910943	0.00817524867700004	16	7	0.0120744508948519	0.128546461834424
ASV154	Filtered	yes	-0.0165027250658713	0.00576462904250143	16	6	0.0125305825693814	0.131381259666847
ASV458	Filtered	yes	-0.0162769434289134	0.0057084225390705	16	5	0.0128147237709097	0.132355057454768
ASV188	Filtered	yes	-0.0232888660005352	0.00825120267905171	16	5	0.013566250997035	0.13420639775679
ASV196	Filtered	yes	-0.0298891937184702	0.010591025721653	16	7	0.0135757916806001	0.13420639775679
ASV450	Filtered	yes	-0.014720370811617	0.00519685605663664	16	5	0.0132996548283659	0.13420639775679
ASV73	Filtered	yes	-0.0417645161788026	0.0149435909376977	16	7	0.0143258639981123	0.139626730798503
ASV9	Filtered	yes	-0.218063846484261	0.0850878559831216	16	16	0.0225499733526013	0.143832472442302
ASV20	Filtered	yes	-0.114786658050093	0.0465823557041094	16	13	0.0272893902839443	0.143832472442302
ASV36	Filtered	yes	-0.0857007318501372	0.0323913435957354	16	10	0.0191861274163202	0.143832472442302
ASV37	Filtered	yes	-0.0627337575686155	0.0229292127820846	16	5	0.0160816411281733	0.143832472442302
ASV49	Filtered	yes	-0.0616591802017294	0.0224589753725628	16	5	0.0157864881430066	0.143832472442302
ASV59	Filtered	yes	-0.0383794220957172	0.0147971496265542	16	5	0.0212359172998452	0.143832472442302
ASV74	Filtered	yes	-0.0450600798158694	0.0180156107123698	16	4	0.0254092318424244	0.143832472442302
ASV88	Filtered	yes	-0.0396428263131039	0.0154774744697381	16	4	0.0226150295222679	0.143832472442302
ASV89	Filtered	yes	-0.0364133277686211	0.014664754966834	16	4	0.0263137893907354	0.143832472442302
ASV91	Filtered	yes	-0.0186062684635993	0.00717497711716759	16	4	0.0212560583164435	0.143832472442302
ASV102	Filtered	yes	-0.0354158338548877	0.013825319414425	16	4	0.0226000740878369	0.143832472442302
