Variant	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17
ASV371	0	0	49	47	0	0	76	0	0	0	0	0	0	0	0	0	36
ASV372	0	0	0	6	0	0	86	111	0	0	0	0	0	0	5	0	0
ASV373	0	0	0	0	0	0	23	184	0	0	0	0	0	0	0	0	0
ASV375	0	0	0	0	0	0	205	0	0	0	0	0	0	0	0	0	0
ASV376	0	0	0	0	0	0	77	102	0	0	0	0	0	0	0	25	0
ASV377	0	0	32	13	0	0	41	117	0	0	0	0	0	0	0	0	0
ASV378	0	0	32	44	0	0	38	64	0	0	17	8	0	0	0	0	0
ASV379	0	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV380	0	0	0	0	0	0	89	111	0	0	0	0	0	0	0	0	0
ASV381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200
ASV382	0	0	0	7	0	0	39	29	0	0	4	0	0	0	8	12	97
ASV383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194
ASV384	0	0	14	14	0	0	97	67	0	0	0	0	0	0	0	0	0
ASV385	0	0	0	19	0	0	78	95	0	0	0	0	0	0	0	0	0
ASV386	0	0	32	0	0	0	98	61	0	0	0	0	0	0	0	0	0
ASV387	0	0	12	21	0	0	70	77	0	0	0	0	0	0	11	0	0
ASV388	0	0	0	118	0	0	35	34	0	0	0	0	0	0	0	0	0
ASV389	0	0	0	0	0	0	16	171	0	0	0	0	0	0	0	0	0
ASV390	0	0	0	0	0	0	0	0	0	0	0	13	0	0	14	12	148
ASV391	0	0	17	22	0	0	61	86	0	0	0	0	0	0	0	0	0
ASV392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185
ASV393	0	0	0	80	0	0	67	22	0	0	0	0	0	0	0	13	0
ASV394	0	0	0	0	0	0	61	65	0	0	0	0	0	0	49	7	0
ASV395	0	0	56	0	0	0	81	43	0	0	0	0	0	0	0	0	0
ASV396	0	0	9	18	0	0	79	74	0	0	0	0	0	0	0	0	0
ASV397	0	0	57	40	0	0	0	0	0	0	66	16	0	0	0	0	0
ASV398	0	0	51	49	0	0	22	25	0	0	27	0	0	0	5	0	0
ASV399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179
ASV400	0	0	0	0	0	0	68	110	0	0	0	0	0	0	0	0	0
ASV402	0	0	0	23	0	0	70	84	0	0	0	0	0	0	0	0	0
ASV403	0	0	0	0	0	0	0	0	0	0	108	69	0	0	0	0	0
ASV404	0	0	30	84	0	0	0	62	0	0	0	0	0	0	0	0	0
ASV405	0	0	153	0	0	0	0	0	0	0	15	7	0	0	0	0	0
ASV406	0	0	41	74	0	0	27	33	0	0	0	0	0	0	0	0	0
ASV408	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0
ASV409	0	0	0	0	0	0	149	10	0	0	0	0	0	0	15	0	0
ASV410	0	0	0	0	0	0	5	169	0	0	0	0	0	0	0	0	0
ASV411	0	0	119	54	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV412	0	0	0	0	0	0	69	16	0	0	0	0	0	0	0	0	88
ASV413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172
ASV414	0	0	0	151	0	0	0	0	0	0	0	0	0	0	20	0	0
ASV415	0	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0
ASV416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	171
ASV417	0	0	61	0	0	0	69	40	0	0	0	0	0	0	0	0	0
ASV418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170
ASV419	0	0	74	95	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV420	0	0	63	106	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV421	0	0	24	13	0	0	53	70	0	0	0	0	0	0	9	0	0
ASV422	0	0	0	0	0	0	70	99	0	0	0	0	0	0	0	0	0
ASV423	0	0	0	0	0	0	82	87	0	0	0	0	0	0	0	0	0
ASV424	0	0	41	33	0	0	37	52	0	0	0	0	0	0	5	0	0
ASV425	0	0	0	4	0	0	65	99	0	0	0	0	0	0	0	0	0
ASV426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168
ASV427	0	0	0	0	0	0	167	0	0	0	0	0	0	0	0	0	0
ASV428	0	0	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0
ASV429	0	0	95	71	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV430	0	0	0	0	0	0	0	0	0	0	67	99	0	0	0	0	0
ASV432	0	0	14	12	0	0	83	48	0	0	8	0	0	0	0	0	0
ASV433	0	0	0	17	0	0	34	113	0	0	0	0	0	0	0	0	0
ASV434	0	0	48	115	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV435	0	0	5	9	0	0	129	20	0	0	0	0	0	0	0	0	0
ASV436	0	0	17	10	0	0	46	90	0	0	0	0	0	0	0	0	0
ASV437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163
ASV438	0	0	6	156	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV439	0	0	52	97	0	0	5	7	0	0	0	0	0	0	0	0	0
ASV441	0	0	0	0	0	0	122	39	0	0	0	0	0	0	0	0	0
ASV442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161
ASV443	0	0	3	0	0	0	152	5	0	0	0	0	0	0	0	0	0
ASV444	0	0	0	0	0	0	0	0	0	0	52	22	0	0	0	85	0
ASV445	0	0	22	10	0	0	39	86	0	0	0	0	0	0	0	0	0
ASV446	0	0	0	0	0	0	14	80	0	0	0	0	0	0	37	26	0
ASV447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157
ASV448	0	0	21	20	0	0	40	75	0	0	0	0	0	0	0	0	0
ASV449	0	0	0	0	0	0	37	118	0	0	0	0	0	0	0	0	0
ASV450	0	0	0	77	0	0	29	17	0	0	0	0	0	0	17	14	0
ASV451	0	0	0	0	0	0	38	31	0	0	0	0	0	0	0	0	85
ASV452	0	0	0	0	0	0	99	54	0	0	0	0	0	0	0	0	0
ASV453	0	0	0	0	0	0	24	129	0	0	0	0	0	0	0	0	0
ASV454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0
ASV455	0	0	27	0	0	0	56	68	0	0	0	0	0	0	0	0	0
ASV456	0	0	0	0	0	0	84	66	0	0	0	0	0	0	0	0	0
ASV458	0	0	20	12	0	0	21	0	0	0	0	0	0	0	65	31	0
ASV459	0	0	15	16	0	0	14	12	0	0	0	0	0	0	72	20	0
ASV460	0	0	0	0	0	0	7	0	0	0	0	0	0	0	11	0	131
ASV461	0	0	0	0	0	0	127	14	0	0	0	0	0	0	7	0	0
ASV462	0	0	0	0	0	0	142	5	0	0	0	0	0	0	0	0	0
ASV463	0	0	0	0	0	0	40	40	0	0	0	0	0	0	30	36	0
ASV464	0	0	12	25	0	0	65	16	0	0	0	0	0	0	22	5	0
ASV465	0	0	0	0	0	0	125	20	0	0	0	0	0	0	0	0	0
ASV466	0	0	0	12	0	0	62	29	0	0	0	0	0	0	25	15	0
ASV467	0	0	113	29	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV468	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0
ASV470	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0
ASV471	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0
ASV473	0	0	0	0	0	0	77	53	0	0	0	0	0	0	10	0	0
ASV474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139
ASV475	0	0	32	32	0	0	0	74	0	0	0	0	0	0	0	0	0
ASV476	0	0	0	0	0	0	102	18	0	0	0	0	0	0	18	0	0
ASV477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138
ASV478	0	61	0	0	36	39	0	0	0	0	0	0	0	0	0	0	0
ASV479	0	0	26	53	0	0	0	49	0	0	0	0	0	0	0	8	0
ASV480	0	0	0	0	0	0	51	85	0	0	0	0	0	0	0	0	0
ASV483	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV484	0	0	0	0	0	0	45	17	0	0	0	0	0	0	0	0	73
ASV485	0	0	0	0	0	0	47	88	0	0	0	0	0	0	0	0	0
ASV486	0	0	68	54	0	0	11	0	0	0	0	0	0	0	0	0	0
ASV487	0	0	0	0	0	0	0	4	0	0	0	0	0	0	56	73	0
ASV488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	133
ASV489	0	0	20	0	0	0	74	38	0	0	0	0	0	0	0	0	0
ASV490	0	0	28	0	0	0	72	32	0	0	0	0	0	0	0	0	0
ASV491	0	0	14	34	0	0	40	42	0	0	0	0	0	0	0	0	0
ASV493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130
ASV494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130
ASV495	0	0	0	0	0	0	68	41	0	0	0	0	0	0	20	0	0
ASV498	0	0	0	0	0	0	44	74	0	0	0	0	0	0	0	6	3
ASV499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127
ASV500	0	15	62	49	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV501	0	0	0	0	0	0	46	80	0	0	0	0	0	0	0	0	0
ASV502	0	0	67	7	0	0	6	45	0	0	0	0	0	0	0	0	0
ASV503	0	0	31	0	0	0	44	46	0	0	0	0	0	0	0	0	4
ASV504	0	0	0	0	0	0	65	60	0	0	0	0	0	0	0	0	0
ASV505	0	0	9	0	0	0	60	54	0	0	0	0	0	0	0	0	0
ASV506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123
ASV507	0	0	0	15	0	0	22	26	0	0	0	0	0	0	0	0	59
ASV508	0	0	51	25	0	0	24	20	0	0	0	0	0	0	0	0	0
ASV510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120
ASV511	0	0	0	0	0	0	46	71	0	0	0	0	0	0	0	0	0
ASV512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117
ASV513	0	0	26	0	0	0	41	49	0	0	0	0	0	0	0	0	0
ASV514	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0
ASV515	0	0	0	0	0	0	51	65	0	0	0	0	0	0	0	0	0
ASV516	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	111
ASV517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115
ASV518	0	0	43	45	0	0	26	0	0	0	0	0	0	0	0	0	0
ASV519	0	0	3	0	0	0	4	4	0	0	0	0	0	0	0	0	103
ASV520	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0
ASV521	0	0	0	0	0	0	67	46	0	0	0	0	0	0	0	0	0
ASV523	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0
ASV524	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV525	0	0	0	0	0	0	67	11	0	0	0	0	0	0	0	0	33
ASV526	0	0	29	64	0	0	9	7	0	0	0	0	0	0	0	0	0
ASV527	0	0	0	0	0	0	12	19	0	0	0	0	0	0	78	0	0
ASV528	0	0	15	12	0	0	48	31	0	0	0	0	0	0	0	0	0
ASV529	0	0	0	0	0	0	28	78	0	0	0	0	0	0	0	0	0
ASV530	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV531	0	0	10	9	0	0	25	46	0	0	0	0	0	0	0	2	13
ASV532	0	0	12	15	0	0	26	49	0	0	0	0	0	0	0	3	0
ASV533	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV534	0	0	0	3	0	0	0	0	0	0	0	5	0	0	87	10	0
ASV535	0	0	0	0	0	0	30	75	0	0	0	0	0	0	0	0	0
ASV536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105
ASV537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104
ASV538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104
ASV540	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV543	0	0	26	37	0	0	38	0	0	0	0	0	0	0	0	0	0
ASV544	0	0	0	9	0	0	31	61	0	0	0	0	0	0	0	0	0
ASV545	0	0	0	0	0	0	64	37	0	0	0	0	0	0	0	0	0
ASV546	0	0	0	0	0	0	0	0	0	0	2	71	0	0	2	26	0
ASV547	0	0	0	0	0	0	16	84	0	0	0	0	0	0	0	0	0
ASV548	0	0	0	0	0	0	67	32	0	0	0	0	0	0	0	0	0
ASV549	0	0	0	0	0	0	11	9	0	0	0	0	0	0	0	0	79
ASV550	0	73	0	0	0	0	12	13	0	0	0	0	0	0	0	0	0
ASV551	0	0	0	0	0	0	65	31	0	0	0	2	0	0	0	0	0
ASV552	0	0	0	0	0	0	36	62	0	0	0	0	0	0	0	0	0
ASV553	0	0	27	13	0	0	19	37	0	0	0	0	0	0	0	0	0
ASV554	0	0	0	41	0	0	27	0	0	0	0	0	0	0	28	0	0
ASV556	0	0	0	0	0	0	18	78	0	0	0	0	0	0	0	0	0
ASV557	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	46
ASV558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	39
ASV559	0	0	35	8	0	0	35	17	0	0	0	0	0	0	0	0	0
ASV560	0	0	0	0	0	0	92	2	0	0	0	0	0	0	0	0	0
ASV561	0	0	0	0	0	0	36	58	0	0	0	0	0	0	0	0	0
ASV562	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0
ASV563	0	0	5	11	0	0	36	41	0	0	0	0	0	0	0	0	0
ASV564	0	0	0	40	0	0	39	0	0	0	0	0	0	0	0	14	0
ASV565	0	0	0	2	0	0	20	71	0	0	0	0	0	0	0	0	0
ASV566	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0
ASV567	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV568	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV569	0	0	0	0	0	0	55	37	0	0	0	0	0	0	0	0	0
ASV570	0	0	0	0	0	0	39	53	0	0	0	0	0	0	0	0	0
ASV571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92
ASV572	0	0	0	70	0	0	16	4	0	0	0	0	0	0	0	0	0
ASV573	0	0	9	0	0	0	80	0	0	0	0	0	0	0	0	0	0
ASV574	0	0	0	67	0	0	13	9	0	0	0	0	0	0	0	0	0
ASV575	0	0	0	0	0	0	43	46	0	0	0	0	0	0	0	0	0
ASV576	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0
ASV577	0	0	48	0	0	0	39	0	0	0	0	0	0	0	0	0	0
ASV578	0	0	0	0	0	0	58	29	0	0	0	0	0	0	0	0	0
ASV579	0	0	0	0	0	0	35	52	0	0	0	0	0	0	0	0	0
ASV580	0	0	0	0	0	0	37	49	0	0	0	0	0	0	0	0	0
ASV581	0	0	0	0	0	0	28	57	0	0	0	0	0	0	0	0	0
ASV582	0	0	0	0	0	0	51	34	0	0	0	0	0	0	0	0	0
ASV583	0	0	0	0	0	0	27	58	0	0	0	0	0	0	0	0	0
ASV584	0	0	0	0	0	0	35	50	0	0	0	0	0	0	0	0	0
ASV585	0	0	0	0	0	0	63	21	0	0	0	0	0	0	0	0	0
ASV586	0	0	0	0	0	0	11	53	0	0	0	0	0	0	0	20	0
ASV587	0	0	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0
ASV589	0	0	0	0	0	0	33	18	0	0	0	0	0	0	0	0	32
ASV590	0	0	0	0	0	0	11	71	0	0	0	0	0	0	0	0	0
ASV591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
ASV592	0	42	7	31	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV593	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0
ASV595	0	0	0	0	0	0	37	42	0	0	0	0	0	0	0	0	0
ASV596	0	0	0	0	0	0	27	52	0	0	0	0	0	0	0	0	0
ASV599	0	0	0	74	0	0	0	4	0	0	0	0	0	0	0	0	0
ASV600	0	0	20	34	0	0	10	13	0	0	0	0	0	0	0	0	0
ASV601	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0
ASV602	0	0	0	0	0	0	44	33	0	0	0	0	0	0	0	0	0
ASV603	0	0	0	0	0	0	26	46	0	0	0	0	0	0	0	4	0
ASV604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
ASV605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76
ASV606	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV607	0	0	29	7	0	0	23	16	0	0	0	0	0	0	0	0	0
ASV608	0	0	9	5	0	0	25	36	0	0	0	0	0	0	0	0	0
ASV609	0	0	0	0	0	0	44	31	0	0	0	0	0	0	0	0	0
ASV610	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0
ASV611	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0
ASV612	0	0	4	0	0	0	31	32	0	0	0	0	0	0	7	0	0
ASV613	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV614	0	0	0	0	0	0	35	39	0	0	0	0	0	0	0	0	0
ASV615	0	0	0	0	0	0	37	37	0	0	0	0	0	0	0	0	0
ASV616	0	0	48	25	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV617	0	0	20	0	0	0	0	53	0	0	0	0	0	0	0	0	0
ASV618	0	0	40	22	0	0	0	0	0	0	0	0	0	0	0	0	11
ASV619	0	0	0	0	0	0	47	26	0	0	0	0	0	0	0	0	0
ASV620	0	0	0	0	0	0	30	43	0	0	0	0	0	0	0	0	0
ASV621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71
ASV622	0	0	0	0	0	0	57	13	0	0	0	0	0	0	0	0	0
ASV623	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	50
ASV625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70
ASV626	0	0	24	19	0	0	0	26	0	0	0	0	0	0	0	0	0
ASV627	0	0	0	0	31	38	0	0	0	0	0	0	0	0	0	0	0
ASV628	0	0	0	0	0	0	55	14	0	0	0	0	0	0	0	0	0
ASV629	0	0	0	0	0	0	35	34	0	0	0	0	0	0	0	0	0
ASV630	0	0	0	0	0	0	17	52	0	0	0	0	0	0	0	0	0
ASV631	0	0	0	0	0	0	13	56	0	0	0	0	0	0	0	0	0
ASV632	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0
ASV633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69
ASV634	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0
ASV635	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0
ASV636	0	0	0	22	0	0	26	19	0	0	0	0	0	0	0	0	0
ASV637	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	23	0
ASV638	0	0	0	0	0	0	14	53	0	0	0	0	0	0	0	0	0
ASV639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0
ASV640	0	0	12	0	0	0	35	19	0	0	0	0	0	0	0	0	0
ASV641	0	0	17	0	0	0	17	32	0	0	0	0	0	0	0	0	0
ASV642	0	0	6	17	0	0	9	34	0	0	0	0	0	0	0	0	0
ASV643	0	0	4	11	0	0	23	25	0	0	0	0	0	0	0	3	0
ASV644	0	0	0	10	0	0	36	17	0	0	0	0	0	0	0	3	0
ASV645	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0
ASV646	0	0	0	0	0	0	19	23	0	0	0	0	0	0	7	17	0
ASV647	0	0	0	0	0	0	46	20	0	0	0	0	0	0	0	0	0
ASV648	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0
ASV649	0	0	19	28	0	0	17	0	0	0	0	0	0	0	0	0	0
ASV650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
ASV651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64
ASV652	0	0	0	0	0	0	46	17	0	0	0	0	0	0	0	0	0
ASV653	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	54
ASV654	0	0	0	0	0	0	30	33	0	0	0	0	0	0	0	0	0
ASV656	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0
ASV657	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	6	0
ASV658	0	0	5	56	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV659	0	0	14	0	0	0	0	0	0	0	47	0	0	0	0	0	0
ASV660	0	0	0	0	0	0	28	28	0	0	0	0	0	0	0	0	5
ASV661	0	0	0	0	0	0	4	57	0	0	0	0	0	0	0	0	0
ASV662	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0
ASV664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61
ASV666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61
ASV667	0	0	2	0	0	0	13	45	0	0	0	0	0	0	0	0	0
ASV668	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV669	0	0	0	0	0	0	12	48	0	0	0	0	0	0	0	0	0
ASV670	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	27	31
ASV671	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0
ASV672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60
ASV674	0	0	0	0	0	0	24	5	0	0	0	0	0	0	0	0	30
ASV675	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0
ASV676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
ASV677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59
ASV678	6	0	0	0	4	0	10	10	4	4	7	8	0	5	0	0	0
ASV679	0	0	4	3	0	0	40	11	0	0	0	0	0	0	0	0	0
ASV680	0	0	0	27	0	0	0	31	0	0	0	0	0	0	0	0	0
ASV681	0	0	0	21	0	0	0	0	0	0	0	0	0	0	29	8	0
ASV682	0	0	0	5	0	0	21	32	0	0	0	0	0	0	0	0	0
ASV683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
ASV684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
ASV686	0	0	30	27	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV687	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	21	0
ASV688	0	0	0	0	0	0	44	13	0	0	0	0	0	0	0	0	0
ASV689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	36	0
ASV690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57
ASV691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57
ASV692	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV693	0	0	15	0	0	0	30	11	0	0	0	0	0	0	0	0	0
ASV694	0	0	6	30	0	0	10	10	0	0	0	0	0	0	0	0	0
ASV695	0	0	0	0	0	0	17	39	0	0	0	0	0	0	0	0	0
ASV696	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0
ASV697	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0
ASV698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0
ASV699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56
ASV700	0	0	0	10	0	0	17	20	0	0	0	0	0	0	8	0	0
ASV702	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0
ASV703	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0
ASV704	0	0	0	0	0	0	36	19	0	0	0	0	0	0	0	0	0
ASV705	0	0	0	0	0	0	38	17	0	0	0	0	0	0	0	0	0
ASV707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55
ASV708	0	0	29	25	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV709	0	0	13	5	0	0	21	15	0	0	0	0	0	0	0	0	0
ASV711	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0
ASV712	0	0	0	0	0	0	26	28	0	0	0	0	0	0	0	0	0
ASV713	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0
ASV714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54
ASV717	0	0	37	16	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV718	0	0	0	0	0	0	30	23	0	0	0	0	0	0	0	0	0
ASV719	0	0	0	0	0	0	21	32	0	0	0	0	0	0	0	0	0
ASV720	0	0	0	0	0	0	22	31	0	0	0	0	0	0	0	0	0
ASV721	0	0	0	0	0	0	33	20	0	0	0	0	0	0	0	0	0
ASV722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
ASV723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
ASV724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53
ASV725	0	0	0	11	0	0	15	26	0	0	0	0	0	0	0	0	0
ASV726	0	0	0	0	0	0	7	23	0	0	0	0	0	0	5	17	0
ASV727	0	0	0	0	0	0	18	34	0	0	0	0	0	0	0	0	0
ASV729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52
ASV730	0	0	20	16	0	0	0	15	0	0	0	0	0	0	0	0	0
ASV731	0	0	0	0	0	0	29	22	0	0	0	0	0	0	0	0	0
ASV732	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	46
ASV733	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	14	0
ASV734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	47
ASV735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
ASV736	0	0	18	10	0	0	5	0	0	0	0	0	0	0	0	0	17
ASV737	0	0	5	8	0	0	17	20	0	0	0	0	0	0	0	0	0
ASV738	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0
ASV739	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0
ASV741	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
ASV742	0	0	0	16	0	0	15	18	0	0	0	0	0	0	0	0	0
ASV743	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0
ASV744	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0
ASV745	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0
ASV746	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
ASV747	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
ASV748	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0
ASV749	0	0	0	0	0	0	19	29	0	0	0	0	0	0	0	0	0
ASV750	0	0	0	0	0	0	4	44	0	0	0	0	0	0	0	0	0
ASV751	0	0	0	0	0	0	23	19	0	0	0	6	0	0	0	0	0
ASV752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0
ASV753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48
ASV754	0	0	13	0	0	0	21	13	0	0	0	0	0	0	0	0	0
ASV755	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0
ASV756	0	0	0	0	0	0	32	15	0	0	0	0	0	0	0	0	0
ASV757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
ASV759	0	0	0	6	0	0	22	18	0	0	0	0	0	0	0	0	0
ASV760	0	0	0	0	0	0	15	31	0	0	0	0	0	0	0	0	0
ASV761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46
ASV763	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV764	0	0	14	21	0	0	3	7	0	0	0	0	0	0	0	0	0
